NOC,Year,Total_Gold,Total_Silver,Total_Bronze
JPN,1960,292.0,279.0,297.0
JPN,1964,292.0,279.0,297.0
JPN,1968,292.0,279.0,297.0
JPN,1972,292.0,279.0,297.0
JPN,1976,292.0,279.0,297.0
JPN,1984,292.0,279.0,297.0
JPN,1988,292.0,279.0,297.0
JPN,1992,292.0,279.0,297.0
JPN,1996,292.0,279.0,297.0
JPN,2000,292.0,279.0,297.0
JPN,2004,292.0,279.0,297.0
JPN,2008,292.0,279.0,297.0
JPN,2012,292.0,279.0,297.0
JPN,2016,292.0,279.0,297.0
KAZ,1996,867.0,850.0,879.0
KAZ,2000,867.0,850.0,879.0
KAZ,2004,867.0,850.0,879.0
KAZ,2008,867.0,850.0,879.0
KAZ,2012,867.0,850.0,879.0
KAZ,2016,867.0,850.0,879.0
KEN,1964,760.0,769.0,849.0
KEN,1968,760.0,769.0,849.0
KEN,1972,760.0,769.0,849.0
KEN,1984,760.0,769.0,849.0
KEN,1988,760.0,769.0,849.0
KEN,1992,760.0,769.0,849.0
KEN,1996,760.0,769.0,849.0
KEN,2000,760.0,769.0,849.0
KEN,2004,760.0,769.0,849.0
KEN,2008,760.0,769.0,849.0
KEN,2012,760.0,769.0,849.0
KEN,2016,760.0,769.0,849.0
KGZ,2000,1275.0,1249.0,1199.0
KGZ,2008,1275.0,1249.0,1199.0
KOR,1948,361.0,382.0,453.0
KOR,1952,361.0,382.0,453.0
KOR,1956,361.0,382.0,453.0
KOR,1964,361.0,382.0,453.0
KOR,1968,361.0,382.0,453.0
KOR,1972,361.0,382.0,453.0
KOR,1976,361.0,382.0,453.0
KOR,1984,361.0,382.0,453.0
KOR,1988,361.0,382.0,453.0
